,High,Low,Open,Close,Volume,Adj Close
2005-08-09,15161.79004,15029.38965,15137.63965,15047.83984,339751000,15047.83984
2005-08-10,15346.41016,15095.95996,15113.86035,15346.41016,479410000,15346.41016
2005-08-11,15477.13965,15330.9502,15432.74023,15445.2002,615163000,15445.2002
2005-08-12,15480.7998,15398.2998,15459.16992,15450.9502,412005600,15450.9502
2005-08-15,15482.15039,15391.57031,15435.49023,15466.05957,282287200,15466.05957
2005-08-16,15508.57031,15394.73047,15455.70996,15443.62012,322947800,15443.62012
2005-08-17,15449.58008,15309.5,15331.08984,15449.58008,398665600,15449.58008
2005-08-18,15455.16992,15101.73047,15442.50977,15148.08984,516748400,15148.08984
2005-08-19,15173.5,15001.44043,15123.25977,15038.61035,391603000,15038.61035
2005-08-22,15225.58984,15049.91016,15093.17969,15218.62988,277348200,15218.62988
2005-08-23,15244.90039,14938.0498,15222.49023,14973.88965,364369200,14973.88965
2005-08-24,14969.5,14861.42969,14934.98047,14873.84961,286594600,14873.84961
2005-08-25,14963.73047,14832,14844.17969,14889.09961,289215600,14889.09961
2005-08-26,14991.63965,14863.04004,14942.82031,14982.88965,274590800,14982.88965
2005-08-29,14861.48047,14734.42969,14851.67969,14836.96973,317385200,14836.96973
2005-08-30,14976.46973,14831.90039,14870.19043,14922.21973,240258000,14922.21973
2005-08-31,14927.0498,14796.50977,14853.63965,14903.5498,382671400,14903.5498
2005-09-01,15149.61035,15014.76953,15031.51953,15143.75,412152600,15143.75
2005-09-02,15249.15039,15131.04004,15197.87012,15221.88965,285917800,15221.88965
2005-09-05,15244.04004,15179.75977,15231.76953,15227.83008,159710400,15227.83008
2005-09-06,15307.65039,15038.65039,15287.7002,15160.78027,248202800,15160.78027
2005-09-07,15271.20996,15205.99023,15247.91992,15224.57031,242847400,15224.57031
2005-09-08,15257.53027,15156.91016,15257.53027,15166.16992,286588200,15166.16992
2005-09-09,15188.42969,15081.28027,15168.57031,15165.76953,246364600,15165.76953
2005-09-12,15240.88965,15186.57031,15240.40039,15199.79004,183454000,15199.79004
2005-09-13,15192.91992,15052.58008,15159,15070.55957,259710000,15070.55957
2005-09-14,15097.2998,14979.65039,15059.91016,15086.62012,272578600,15086.62012
2005-09-15,15129.58984,14990.0498,15092.42969,15041.01953,238076200,15041.01953
2005-09-16,15035.4502,14965.98047,15033.08008,14983.2002,281685400,14983.2002
2005-09-20,15252.83984,14943.61035,14994.76953,15241.86035,424561400,15241.86035
2005-09-21,15271.91016,15162.59961,15207.08008,15223.62012,338187000,15223.62012
2005-09-22,15194.00977,15119.99023,15144.5498,15179.9502,297848400,15179.9502
2005-09-23,15169.87988,15045.54004,15169.04004,15143.96973,269944600,15143.96973
2005-09-26,15279.04004,15127.99023,15166.16016,15274.30957,293050400,15274.30957
2005-09-27,15312.36035,15163.66992,15286.51953,15189.87988,253552400,15189.87988
2005-09-28,15269.04004,15164.86035,15186.12988,15221.45996,312616200,15221.45996
2005-09-29,15432.9502,15241.49023,15248.87012,15431.25,378787200,15431.25
2005-09-30,15470.50977,15394.67969,15449.2998,15428.51953,351307200,15428.51953
2005-10-03,15452.28027,15369.23047,15399.87012,15394.38965,270527400,15394.38965
2005-10-04,15493,15382.20996,15397.37988,15382.20996,317223200,15382.20996
2005-10-05,15317.08008,15137.51953,15317.08008,15161.03027,427003600,15161.03027
2005-10-06,14945.96973,14823,14943.21973,14839.2998,552974000,14839.2998
2005-10-07,14899.23047,14798.91016,14857.19043,14847.79004,453735200,14847.79004
2005-10-10,14933.92969,14852.33008,14898.83984,14898.76953,280169400,14898.76953
2005-10-12,14933.12012,14557.51953,14880.45996,14575.01953,547705800,14575.01953
2005-10-13,14644.66016,14508.54004,14527.01953,14621.83008,339541800,14621.83008
2005-10-14,14577.37012,14439.12988,14577.37012,14485.87988,433301600,14485.87988
2005-10-17,14572.67969,14449.37988,14551.74023,14541.34961,310244800,14541.34961
